Spectral_Weight,Temporal_Weight
0.063739665,0.93626034
0.07462313,0.9253769
0.07360062,0.92639935
0.05848088,0.94151914
0.06073694,0.93926305
0.070870236,0.9291298
0.0656505,0.93434954
0.06444962,0.9355504
0.07841031,0.9215897
0.061934747,0.93806523
0.06966644,0.9303335
0.07720261,0.9227973
0.08616947,0.9138305
0.08429804,0.9157019
0.07196615,0.9280338
0.08987262,0.9101274
0.089039475,0.9109605
0.08544558,0.9145545
0.09505585,0.9049442
0.07836768,0.92163235
0.09980889,0.90019107
0.091296695,0.90870327
0.09537716,0.9046228
0.09643916,0.9035608
0.0671043,0.93289566
0.16158353,0.83841646
0.07794232,0.9220577
0.063168675,0.93683136
0.09238394,0.9076161
0.086400196,0.91359985
0.0780059,0.92199403
0.0778835,0.92211646
0.077253066,0.9227469
0.08352507,0.91647494
0.09290129,0.90709877
0.08433373,0.9156662
0.07961114,0.9203888
0.07224083,0.9277592
0.08953453,0.9104654
0.062008318,0.9379917
0.09756487,0.9024351
0.08426703,0.9157329
0.1204606,0.87953943
0.08749858,0.9125014
0.116011165,0.8839888
0.13286233,0.8671376
0.12398333,0.8760167
0.11387758,0.8861224
0.08562293,0.9143771
0.07976992,0.92023015
0.102241755,0.89775825
0.085049056,0.91495097
0.10155289,0.8984471
0.08541439,0.91458553
0.056860935,0.9431391
0.05479294,0.9452071
0.071473844,0.92852616
0.055071004,0.944929
0.062329922,0.93767005
0.05196695,0.94803303
0.051217105,0.9487829
0.057633508,0.9423665
0.056655355,0.9433446
0.050273843,0.9497261
0.07378796,0.9262121
0.05163237,0.94836766
0.074867256,0.92513275
0.092097074,0.9079029
0.08359118,0.9164088
0.07804025,0.9219598
0.08546149,0.9145385
0.08366645,0.9163335
0.11424378,0.8857562
0.06282084,0.93717915
0.08403582,0.9159642
0.05767546,0.9423245
0.07661452,0.9233855
0.061376914,0.93862313
0.09344552,0.9065545
0.09167984,0.9083201
0.0701136,0.92988646
0.073207915,0.926792
0.07272364,0.9272763
0.086569734,0.9134302
0.10398186,0.89601815
0.09496591,0.90503407
0.08544966,0.91455036
0.070825994,0.929174
0.0851598,0.9148402
0.10767745,0.89232254
0.09497022,0.9050298
0.10477,0.89523005
0.08376851,0.9162315
0.12759861,0.8724014
0.089295715,0.91070426
0.098196164,0.9018038
0.0776262,0.92237383
0.08012945,0.91987056
0.08487667,0.91512334
0.0966567,0.9033433
0.18133019,0.8186698
0.117232844,0.88276714
0.07680168,0.9231983
0.06598628,0.9340137
0.07909049,0.9209095
0.070433676,0.9295663
0.07978676,0.9202133
0.0667769,0.93322307
0.041432273,0.9585677
0.04393932,0.95606065
0.057654433,0.9423456
0.043389723,0.95661026
0.04561035,0.9543897
0.0486138,0.9513862
0.05699344,0.9430065
0.052628286,0.9473717
0.065289244,0.9347107
0.0463539,0.9536461
0.062118545,0.93788147
0.052094404,0.9479056
0.065588646,0.93441135
0.06575596,0.93424404
0.05969312,0.94030684
0.061468065,0.93853194
0.060122587,0.9398774
0.07147272,0.9285273
0.062962286,0.9370377
0.07885201,0.92114794
0.07556512,0.9244349
0.079312794,0.92068726
0.07946636,0.92053366
0.0667362,0.9332638
0.09641391,0.90358615
0.100727476,0.8992725
0.09513604,0.90486395
0.09925928,0.9007407
0.10534074,0.8946593
0.087217994,0.912782
0.080520235,0.9194798
0.1360804,0.8639197
0.088245995,0.91175395
0.095117666,0.9048824
0.075102955,0.924897
0.13513133,0.8648687
0.073630795,0.92636913
0.072065346,0.92793465
0.080225036,0.91977495
0.09866482,0.9013351
0.085063934,0.91493607
0.08456796,0.91543204
0.102033384,0.89796656
0.075809285,0.9241907
0.09328918,0.9067108
0.09173069,0.9082693
0.086881496,0.91311854
0.08906292,0.9109371
0.069546215,0.9304537
0.07762132,0.92237866
0.09263533,0.90736467
0.077701546,0.9222985
0.072512425,0.9274876
0.08272531,0.91727465
0.18159369,0.81840634
0.07214303,0.9278569
0.12804906,0.871951
0.08027762,0.91972244
0.079781994,0.920218
0.07644539,0.92355466
0.09092848,0.9090715
0.09320139,0.9067986
0.08640807,0.91359186
0.10449611,0.89550394
0.087629594,0.9123704
0.09163855,0.90836143
0.088008426,0.9119916
0.09058575,0.90941423
0.09964937,0.90035063
0.109725334,0.8902747
0.097947866,0.90205216
0.13494927,0.86505073
0.08495885,0.9150412
0.11121924,0.8887808
0.0833246,0.9166753
0.078569405,0.9214306
0.07879203,0.92120796
0.06907872,0.93092126
0.092927456,0.90707254
0.09850232,0.90149766
0.08870837,0.9112916
0.092904665,0.9070953
0.092164375,0.9078356
0.095256284,0.9047437
0.07073066,0.9292693
0.07179567,0.92820436
0.06760814,0.9323918
0.070469916,0.92953
0.07901235,0.92098767
0.06807939,0.93192065
0.14065962,0.8593404
0.10706312,0.8929369
0.12355946,0.8764406
0.10918922,0.8908107
0.112965755,0.88703424
0.10442268,0.8955774
0.12603614,0.87396383
0.20099711,0.7990029
0.15634957,0.84365046
0.17213793,0.8278621
0.10603633,0.89396363
0.10090043,0.8990996
0.057850815,0.94214916
0.07748326,0.92251676
0.058986302,0.9410137
0.05316209,0.9468379
0.07304296,0.926957
0.049888693,0.9501113
0.060365148,0.93963486
0.057031024,0.942969
0.06039755,0.93960243
0.06701741,0.9329826
0.07184886,0.9281512
0.05997244,0.9400276
0.09448913,0.90551084
0.07721877,0.92278117
0.09046199,0.909538
0.07444164,0.9255584
0.08270304,0.91729695
0.08291883,0.9170811
0.06149834,0.9385016
0.070571415,0.9294286
0.069770694,0.9302293
0.065978274,0.9340217
0.06583706,0.934163
0.06289651,0.93710345
0.070220396,0.9297796
0.08859087,0.91140914
0.08300974,0.9169903
0.08166322,0.9183368
0.08938592,0.9106141
0.07907055,0.92092943
0.09605629,0.9039438
0.102684565,0.89731544
0.09561155,0.9043884
0.08649368,0.9135063
0.08290354,0.91709644
0.09410964,0.90589035
0.123681806,0.8763182
0.107366465,0.89263356
0.1187704,0.88122964
0.08796286,0.9120372
0.09300079,0.90699923
0.11129293,0.88870704
0.12059183,0.8794082
0.08010398,0.919896
0.13839802,0.861602
